ID;Название;Приоритет;Предусловие;Шаги;Ожидаемый результат;Статус;Автоматизация
TC-001;Успешный вход в приложение;High;Приложение установлено и запущено. Открыт экран авторизации.;1. В поле Login ввести login2. 2. В поле Password ввести password2. 3. Нажать кнопку SIGN IN.;Открывается главный экран приложения с разделом News.;Passed;Да
TC-002;Вход с неправильным паролем;High;Приложение установлено и запущено. Открыт экран авторизации.;1. В поле Login ввести login2. 2. В поле Password ввести passwor2 (8 символов). 3. Нажать кнопку SIGN IN.;Вход заблокирован. Внизу экрана появляется сообщение Something went wrong. Try again later.;Passed;Да
TC-003;Проверка пустого экрана новостей;Medium;Выполнен вход под учетной записью login2. Открыт главный экран.;1. Очистить список новостей на сервере (через БД/админку). 2. Посмотреть на экран приложения.;Отображается графическая заглушка в виде бабочки и текст There is nothing here yet...;Passed;Нет (требуется предварительная очистка базы данных на сервере перед тестом)
TC-004;Проверка корректности отображения дат публикации и создания;High;Выполнен вход под учетной записью login2. В списке Control panel есть новости.;1. Изучить даты в полях Publication date и Creation date в карточках новостей.;Даты отображаются в реальном времени (текущий год), формат соответствует макету, дата создания хронологически предшествует дате публикации.;Failed;Нет (блокирующий баг данных — бэкенд отдает некорректные пятизначные года 57994 и 58446)
TC-005;Проверка сортировки списка;Medium;Выполнен вход под учетной записью login2. Открыт экран Control panel.;1. Нажать на иконку со стрелками ↑↓ в верхней панели.;Порядок отображения карточек в списке инвертируется по дате публикации.;Passed;Да
TC-006;Выпадающий список категорий;Medium;Выполнен вход под учетной записью login2. Открыт экран Filter news.;1. Нажать на поле ввода Category.;Открывается выпадающее меню (Spinner), содержащее список из 8 доступных категорий контента.;Passed;Нет (элемент Dropdown в UI Automator часто ведет себя нестабильно на разных версиях Android)
TC-007;Работа сложного комбинированного фильтра;High;Выполнен вход под учетной записью login2. Открыт экран Filter news.;1. В поле Category выбрать Объявление. 2. В полях дат ввести диапазон от 01.06.2026 до 01.08.2026. 3. Нажать кнопку FILTER.;Экран фильтра закрывается. В списке Control panel остаются только карточки категорий Объявление за указанные даты.;Passed;Да
TC-008;Ввод эмодзи в форму создания новости;Low;Выполнен вход под учетной записью login2. Открыт экран Creating News.;1. В поле Description ввести текст happy birthday 🎉. 2. Проверить отображение текста.;Текст и графический символ эмодзи отображаются в поле ввода корректно, без искажения верстки.;Passed;Нет (визуальный UX-тест на корректность рендеринга шрифтов операционной системой, проверяется только вручную)
TC-009;Отмена создания новости через кнопку CANCEL;Medium;Выполнен вход под учетной записью login2. Открыт экран Creating News.;1. Нажать кнопку CANCEL. 2. В появившемся диалоговом окне подтвердить действие.;Форма создания закрывается, происходит возврат на предыдущий экран Control panel. Данные не сохраняются.;Passed;Да
TC-010;Сохранение новой новости по кнопке SAVE;High;Выполнен вход под учетной записью login2. Открыт экран Creating News, поля заполнены.;1. Нажать кнопку SAVE.;Экран закрывается, происходит переход в Control panel, созданная новость появляется в списке.;Failed;Нет (блокирующий баг приложения — кнопка SAVE не отправляет данные в базу, новость пропадает)
TC-011;Отмена удаления записи;Medium;Выполнен вход под учетной записью login2. В Control panel есть карточки.;1. Нажать на иконку корзины на карточке. 2. В появившемся окне нажать CANCEL.;Диалоговое окно закрывается, целевая карточка новости остается в списке без изменений.;Passed;Нет (логика вызова и закрытия системных модальных окон дублирует проверку успешного удаления)
TC-012;Успешное удаление новости;High;Выполнен вход под учетной записью login2. В Control panel есть карточки.;1. Нажать на иконку корзины на карточке. 2. В появившемся окне нажать OK.;Модальное окно закрывается, выбранная карточка новости безвозвратно удаляется из списка на UI и сервере.;Passed;Да
TC-013;Открытие формы редактирования;Medium;Выполнен вход под учетной записью login2. В Control panel есть карточки.;1. Нажать на иконку карандаша внутри карточки новости.;Открывается экран Editing News. Все поля автоматически заполнены текущими данными этой новости.;Passed;Нет (проверяется автоматически в рамках комплексного автотеста на изменение и сохранение данных)
TC-014;Сохранение изменений при правке новости;High;Выполнен вход под учетной записью login2. Открыт экран Editing News.;1. Изменить текст в поле Description на qwerty. 2. Перевести свитч Active в серый цвет. 3. Нажать SAVE.;Экран закрывается. В Control panel у этой карточки изменился статус на X NOT ACTIVE, а внутри спойлера виден текст qwerty.;Passed;Да
TC-015;Раскрытие элементов в разделе цитат;Low;Выполнен вход под учетной записью login2. Открыт раздел Цитаты.;1. Нажать на стрелку ∨ на любой карточке с цитатой.;Блок разворачивается, отображая полный текст цитаты и автора. Наложение элементов отсутствует.;Passed;Нет (статический информационный экран, низкий бизнес-приоритет для покрытия автотестами)
TC-016;Проверка внешних ссылок на экране О приложении;Low;Выполнен вход под учетной записью login2. Открыт экран О приложении.;1. Нажать на гиперссылку политики конфиденциальности.;Приложение сворачивается, открывается встроенный браузер Android с целевой веб-страницей хосписа.;Passed;Нет (тест зависит от внешнего сетевого контура и стабильности стороннего сайта, что может приводить к ложным падениям)
